Loan_ID,Customer,Date,Gender,Married,Dependents,Age,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Application_Number,Amount_Requested,Loan_Status
LP001003,C002,1/2/2022,Male,Yes,1,28,Graduate,No,4583,1508,128,360,1,Rural,LP001003,128,N
LP001005,C003,1/3/2022,Male,Yes,0,25,Graduate,Yes,3000,0,66,360,1,Urban,LP001005,66,Y
LP001006,C004,1/4/2022,Male,Yes,0,32,Not Graduate,No,2583,2358,120,360,1,Urban,LP001006,120,Y
LP001008,C005,1/5/2022,Male,No,0,43,Graduate,No,6000,0,141,360,1,Urban,LP001008,141,Y
LP001011,C006,1/6/2022,Male,Yes,2,22,Graduate,Yes,5417,4196,267,360,1,Urban,LP001011,267,Y
LP001013,C007,1/7/2022,Male,Yes,0,18,Not Graduate,No,2333,1516,95,360,1,Urban,LP001013,95,Y
LP001043,C021,1/21/2022,Male,Yes,0,0,Not Graduate,No,7660,0,104,360,0,Urban,LP001043,104,N
LP001046,C022,1/22/2022,Male,Yes,1,0,Graduate,No,5955,5625,315,360,1,Urban,LP001046,315,Y
LP001047,C023,1/23/2022,Male,Yes,0,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,LP001047,116,N
LP001066,C026,1/26/2022,Male,Yes,0,33,Graduate,Yes,9560,0,191,360,1,Semiurban,LP001066,191,Y
LP001068,C027,1/27/2022,Male,Yes,0,33,Graduate,No,2799,2253,122,360,1,Semiurban,LP001068,122,Y
LP001073,C028,1/28/2022,Male,Yes,2,33,Not Graduate,No,4226,1040,110,360,1,Urban,LP001073,110,Y
LP001086,C029,1/29/2022,Male,No,0,33,Not Graduate,No,1442,0,35,360,1,Urban,LP001086,35,N
LP001095,C032,2/1/2022,Male,No,0,33,Graduate,No,3167,0,74,360,1,Urban,LP001095,74,N
LP001097,C033,2/2/2022,Male,No,1,33,Graduate,Yes,4692,0,106,360,1,Rural,LP001097,106,N
LP001098,C034,2/3/2022,Male,Yes,0,33,Graduate,No,3500,1667,114,360,1,Semiurban,LP001098,114,Y
LP001100,C035,2/4/2022,Male,No,5,33,Graduate,No,12500,3000,320,360,1,Rural,LP001100,320,N
LP001112,C038,2/7/2022,Female,Yes,0,33,Graduate,No,3667,1459,144,360,1,Semiurban,LP001112,144,Y
LP001114,C039,2/8/2022,Male,No,0,48,Graduate,No,4166,7210,184,360,1,Urban,LP001114,184,Y
LP001116,C040,2/9/2022,Male,No,0,48,Not Graduate,No,3748,1668,110,360,1,Semiurban,LP001116,110,Y
LP001119,C041,2/10/2022,Male,No,0,48,Graduate,No,3600,0,80,360,1,Urban,LP001119,80,N
LP001120,C042,2/11/2022,Male,No,0,48,Graduate,No,1800,1213,47,360,1,Urban,LP001120,47,Y
LP001131,C044,2/13/2022,Male,Yes,0,48,Graduate,No,3941,2336,134,360,1,Semiurban,LP001131,134,Y
LP001138,C047,2/16/2022,Male,Yes,1,48,Graduate,No,5649,0,44,360,1,Urban,LP001138,44,Y
LP001144,C048,2/17/2022,Male,Yes,0,48,Graduate,No,5821,0,144,360,1,Urban,LP001144,144,Y
LP001146,C049,2/18/2022,Female,Yes,0,48,Graduate,No,2645,3440,120,360,0,Urban,LP001146,120,N
LP001151,C050,2/19/2022,Female,No,0,48,Graduate,No,4000,2275,144,360,1,Semiurban,LP001151,144,Y
LP001155,C051,2/20/2022,Female,Yes,0,48,Not Graduate,No,1928,1644,100,360,1,Semiurban,LP001155,100,Y
LP001157,C052,2/21/2022,Female,No,0,48,Graduate,No,3086,0,120,360,1,Semiurban,LP001157,120,Y
LP001164,C053,2/22/2022,Female,No,0,48,Graduate,No,4230,0,112,360,1,Semiurban,LP001164,112,N
LP001179,C054,2/23/2022,Male,Yes,2,48,Graduate,No,4616,0,134,360,1,Urban,LP001179,134,N
LP001186,C055,2/24/2022,Female,Yes,1,48,Graduate,Yes,11500,0,286,360,0,Urban,LP001186,286,N
LP001194,C056,2/25/2022,Male,Yes,2,48,Graduate,No,2708,1167,97,360,1,Semiurban,LP001194,97,Y
LP001195,C057,2/26/2022,Male,Yes,0,48,Graduate,No,2132,1591,96,360,1,Semiurban,LP001195,96,Y
LP001197,C058,2/27/2022,Male,Yes,0,48,Graduate,No,3366,2200,135,360,1,Rural,LP001197,135,N
LP001267,C083,3/24/2022,Female,Yes,2,20,Graduate,No,1378,1881,167,360,1,Urban,LP001267,167,N
LP001275,C085,3/26/2022,Male,Yes,1,20,Graduate,No,3988,0,50,240,1,Urban,LP001275,50,Y
LP001279,C086,3/27/2022,Male,No,0,20,Graduate,No,2366,2531,136,360,1,Semiurban,LP001279,136,Y
LP001282,C088,3/29/2022,Male,Yes,0,20,Graduate,No,2500,2118,104,360,1,Semiurban,LP001282,104,Y
LP001289,C089,3/30/2022,Male,No,0,20,Graduate,No,8566,0,210,360,1,Urban,LP001289,210,Y
LP001310,C090,3/31/2022,Male,Yes,0,34,Graduate,No,5695,4167,175,360,1,Semiurban,LP001310,175,Y
LP001316,C091,4/1/2022,Male,Yes,0,34,Graduate,No,2958,2900,131,360,1,Semiurban,LP001316,131,Y
LP001318,C092,4/2/2022,Male,Yes,2,34,Graduate,No,6250,5654,188,180,1,Semiurban,LP001318,188,Y
LP001319,C093,4/3/2022,Male,Yes,2,34,Not Graduate,No,3273,1820,81,360,1,Urban,LP001319,81,Y
LP001322,C094,4/4/2022,Male,No,0,34,Graduate,No,4133,0,122,360,1,Semiurban,LP001322,122,Y
LP001325,C095,4/5/2022,Male,No,0,34,Not Graduate,No,3620,0,25,120,1,Semiurban,LP001325,25,Y
LP001327,C097,4/7/2022,Female,Yes,0,34,Graduate,No,2484,2302,137,360,1,Semiurban,LP001327,137,Y
LP001333,C098,4/8/2022,Male,Yes,0,34,Graduate,No,1977,997,50,360,1,Semiurban,LP001333,50,Y
LP001334,C099,4/9/2022,Male,Yes,0,34,Not Graduate,No,4188,0,115,180,1,Semiurban,LP001334,115,Y
LP001343,C100,4/10/2022,Male,Yes,0,34,Graduate,No,1759,3541,131,360,1,Semiurban,LP001343,131,Y
LP001345,C101,4/11/2022,Male,Yes,2,34,Not Graduate,No,4288,3263,133,180,1,Urban,LP001345,133,Y
LP001349,C102,4/12/2022,Male,No,0,34,Graduate,No,4843,3806,151,360,1,Semiurban,LP001349,151,Y
LP001367,C106,4/16/2022,Male,Yes,1,34,Graduate,No,3052,1030,100,360,1,Urban,LP001367,100,Y
LP001369,C107,4/17/2022,Male,Yes,2,34,Graduate,No,11417,1126,225,360,1,Urban,LP001369,225,Y
LP001379,C109,4/19/2022,Male,Yes,2,34,Graduate,No,3800,3600,216,360,0,Urban,LP001379,216,N
LP001384,C110,4/20/2022,Male,Yes,4,34,Not Graduate,No,2071,754,94,480,1,Semiurban,LP001384,94,Y
LP001385,C111,4/21/2022,Male,No,0,34,Graduate,No,5316,0,136,360,1,Urban,LP001385,136,Y
LP001401,C116,4/26/2022,Male,Yes,1,34,Graduate,No,14583,0,185,180,1,Rural,LP001401,185,Y
LP001431,C123,5/3/2022,Female,No,0,34,Graduate,No,2137,8980,137,360,0,Semiurban,LP001431,137,Y
LP001432,C124,5/4/2022,Male,Yes,2,34,Graduate,No,2957,0,81,360,1,Semiurban,LP001432,81,Y
LP001439,C125,5/5/2022,Male,Yes,0,34,Not Graduate,No,4300,2014,194,360,1,Rural,LP001439,194,Y
LP001636,C183,7/2/2022,Male,Yes,0,44,Graduate,No,4600,0,73,180,1,Semiurban,LP001636,73,Y
LP001637,C184,7/3/2022,Male,Yes,1,44,Graduate,No,33846,0,260,360,1,Semiurban,LP001637,260,N
LP001639,C185,7/4/2022,Female,Yes,0,44,Graduate,No,3625,0,108,360,1,Semiurban,LP001639,108,Y
LP001640,C186,7/5/2022,Male,Yes,0,44,Graduate,Yes,39147,4750,120,360,1,Semiurban,LP001640,120,Y
LP001641,C187,7/6/2022,Male,Yes,1,44,Graduate,Yes,2178,0,66,300,0,Rural,LP001641,66,N
LP001658,C194,7/13/2022,Male,No,0,44,Graduate,No,3858,0,76,360,1,Semiurban,LP001658,76,Y
LP001664,C195,7/14/2022,Male,No,0,44,Graduate,No,4191,0,120,360,1,Rural,LP001664,120,Y
LP001665,C196,7/15/2022,Male,Yes,1,44,Graduate,No,3125,2583,170,360,1,Semiurban,LP001665,170,N
LP001666,C197,7/16/2022,Male,No,0,44,Graduate,No,8333,3750,187,360,1,Rural,LP001666,187,Y
LP001673,C200,7/19/2022,Male,No,0,44,Graduate,Yes,11000,0,83,360,1,Urban,LP001673,83,N
LP001674,C201,7/20/2022,Male,Yes,1,44,Not Graduate,No,2600,2500,90,360,1,Semiurban,LP001674,90,Y
LP001677,C202,7/21/2022,Male,No,2,44,Graduate,No,4923,0,166,360,0,Semiurban,LP001677,166,Y
LP001688,C204,7/23/2022,Male,Yes,1,44,Not Graduate,No,3500,1083,135,360,1,Urban,LP001688,135,Y
LP001691,C205,7/24/2022,Male,Yes,2,44,Not Graduate,No,3917,0,124,360,1,Semiurban,LP001691,124,Y
LP001692,C206,7/25/2022,Female,No,0,44,Not Graduate,No,4408,0,120,360,1,Semiurban,LP001692,120,Y
